seriesid,date,statefips,countyfips,state,county,labforce,employed,unemployed,urate
CN4844900000000,2022-04-01,48,449,TX,Titus County,13654,13147,507,3.7
CN4845100000000,2022-04-01,48,451,TX,Tom Green County,56010,54296,1714,3.1
CN4845300000000,2022-04-01,48,453,TX,Travis County,816384,795957,20427,2.5
CN4845500000000,2022-04-01,48,455,TX,Trinity County,5449,5185,264,4.8
CN4845700000000,2022-04-01,48,457,TX,Tyler County,7210,6809,401,5.6
CN4845900000000,2022-04-01,48,459,TX,Upshur County,17841,17142,699,3.9
CN4846100000000,2022-04-01,48,461,TX,Upton County,2421,2359,62,2.6
CN4846300000000,2022-04-01,48,463,TX,Uvalde County,11340,10904,436,3.8
CN4846500000000,2022-04-01,48,465,TX,Val Verde County,22160,21261,899,4.1
CN4846700000000,2022-04-01,48,467,TX,Van Zandt County,27779,26936,843,3
CN4846900000000,2022-04-01,48,469,TX,Victoria County,41375,39792,1583,3.8
CN4847100000000,2022-04-01,48,471,TX,Walker County,24072,23046,1026,4.3
CN4847300000000,2022-04-01,48,473,TX,Waller County,25446,24449,997,3.9
CN4847500000000,2022-04-01,48,475,TX,Ward County,6017,5803,214,3.6
CN4847700000000,2022-04-01,48,477,TX,Washington County,15425,14874,551,3.6
CN4847900000000,2022-04-01,48,479,TX,Webb County,117364,112704,4660,4
CN4848100000000,2022-04-01,48,481,TX,Wharton County,21813,21069,744,3.4
CN4848300000000,2022-04-01,48,483,TX,Wheeler County,2055,1981,74,3.6
CN4848500000000,2022-04-01,48,485,TX,Wichita County,55556,53569,1987,3.6
CN4848700000000,2022-04-01,48,487,TX,Wilbarger County,5005,4777,228,4.6
CN4848900000000,2022-04-01,48,489,TX,Willacy County,7416,6761,655,8.8
CN4849100000000,2022-04-01,48,491,TX,Williamson County,362263,352821,9442,2.6
CN4849300000000,2022-04-01,48,493,TX,Wilson County,25896,25132,764,3
CN4849500000000,2022-04-01,48,495,TX,Winkler County,3934,3782,152,3.9
CN4849700000000,2022-04-01,48,497,TX,Wise County,34153,33073,1080,3.2
CN4849900000000,2022-04-01,48,499,TX,Wood County,18225,17481,744,4.1
CN4850100000000,2022-04-01,48,501,TX,Yoakum County,3356,3225,131,3.9
CN4850300000000,2022-04-01,48,503,TX,Young County,8162,7890,272,3.3
CN4850500000000,2022-04-01,48,505,TX,Zapata County,4340,4015,325,7.5
CN4850700000000,2022-04-01,48,507,TX,Zavala County,3422,3126,296,8.6
CN4900100000000,2022-04-01,49,001,UT,Beaver County,3064,2993,71,2.3
CN4900300000000,2022-04-01,49,003,UT,Box Elder County,27611,27021,590,2.1
CN4900500000000,2022-04-01,49,005,UT,Cache County,71659,70334,1325,1.8
CN4900700000000,2022-04-01,49,007,UT,Carbon County,8570,8288,282,3.3
CN4900900000000,2022-04-01,49,009,UT,Daggett County,430,413,17,4
CN4901100000000,2022-04-01,49,011,UT,Davis County,181633,177861,3772,2.1
CN4901300000000,2022-04-01,49,013,UT,Duchesne County,7990,7740,250,3.1
CN4901500000000,2022-04-01,49,015,UT,Emery County,4549,4410,139,3.1
CN4901700000000,2022-04-01,49,017,UT,Garfield County,3172,3025,147,4.6
CN4901900000000,2022-04-01,49,019,UT,Grand County,7126,6966,160,2.2
CN4902100000000,2022-04-01,49,021,UT,Iron County,28189,27554,635,2.3
CN4902300000000,2022-04-01,49,023,UT,Juab County,6404,6287,117,1.8
CN4902500000000,2022-04-01,49,025,UT,Kane County,4067,3972,95,2.3
CN4902700000000,2022-04-01,49,027,UT,Millard County,6574,6441,133,2
CN4902900000000,2022-04-01,49,029,UT,Morgan County,5892,5777,115,2
CN4903100000000,2022-04-01,49,031,UT,Piute County,527,511,16,3
CN4903300000000,2022-04-01,49,033,UT,Rich County,1188,1159,29,2.4
CN4903500000000,2022-04-01,49,035,UT,Salt Lake County,665567,650723,14844,2.2
CN4903700000000,2022-04-01,49,037,UT,San Juan County,5647,5425,222,3.9
CN4903900000000,2022-04-01,49,039,UT,Sanpete County,13759,13425,334,2.4
CN4904100000000,2022-04-01,49,041,UT,Sevier County,10358,10094,264,2.5
CN4904300000000,2022-04-01,49,043,UT,Summit County,26140,25581,559,2.1
CN4904500000000,2022-04-01,49,045,UT,Tooele County,37515,36611,904,2.4
CN4904700000000,2022-04-01,49,047,UT,Uintah County,14004,13505,499,3.6
CN4904900000000,2022-04-01,49,049,UT,Utah County,344319,337525,6794,2
CN4905100000000,2022-04-01,49,051,UT,Wasatch County,17595,17189,406,2.3
CN4905300000000,2022-04-01,49,053,UT,Washington County,87085,85038,2047,2.4
CN4905500000000,2022-04-01,49,055,UT,Wayne County,1598,1541,57,3.6
CN4905700000000,2022-04-01,49,057,UT,Weber County,133499,130321,3178,2.4
CN5000100000000,2022-04-01,50,001,VT,Addison County,20880,20411,469,2.2
CN5000300000000,2022-04-01,50,003,VT,Bennington County,17376,16817,559,3.2
CN5000500000000,2022-04-01,50,005,VT,Caledonia County,14378,13965,413,2.9
CN5000700000000,2022-04-01,50,007,VT,Chittenden County,96148,94425,1723,1.8
CN5000900000000,2022-04-01,50,009,VT,Essex County,2613,2519,94,3.6
CN5001100000000,2022-04-01,50,011,VT,Franklin County,27420,26736,684,2.5
CN5001300000000,2022-04-01,50,013,VT,Grand Isle County,4084,3961,123,3
CN5001500000000,2022-04-01,50,015,VT,Lamoille County,13922,13417,505,3.6
CN5001700000000,2022-04-01,50,017,VT,Orange County,15564,15159,405,2.6
CN5001900000000,2022-04-01,50,019,VT,Orleans County,13231,12646,585,4.4
CN5002100000000,2022-04-01,50,021,VT,Rutland County,29469,28597,872,3
CN5002300000000,2022-04-01,50,023,VT,Washington County,33263,32537,726,2.2
CN5002500000000,2022-04-01,50,025,VT,Windham County,20965,20327,638,3
CN5002700000000,2022-04-01,50,027,VT,Windsor County,29104,28465,639,2.2
CN5100100000000,2022-04-01,51,001,VA,Accomack County,15562,15131,431,2.8
CN5100300000000,2022-04-01,51,003,VA,Albemarle County,57944,56719,1225,2.1
CN5100500000000,2022-04-01,51,005,VA,Alleghany County,6650,6467,183,2.8
CN5100700000000,2022-04-01,51,007,VA,Amelia County,6222,6070,152,2.4
CN5100900000000,2022-04-01,51,009,VA,Amherst County,14847,14469,378,2.5
CN5101100000000,2022-04-01,51,011,VA,Appomattox County,7137,6952,185,2.6
CN5101300000000,2022-04-01,51,013,VA,Arlington County,156471,153645,2826,1.8
CN5101500000000,2022-04-01,51,015,VA,Augusta County,38002,37183,819,2.2
CN5101700000000,2022-04-01,51,017,VA,Bath County,2359,2311,48,2
CN5101900000000,2022-04-01,51,019,VA,Bedford County,38589,37679,910,2.4
CN5102100000000,2022-04-01,51,021,VA,Bland County,2789,2721,68,2.4
CN5102300000000,2022-04-01,51,023,VA,Botetourt County,17580,17214,366,2.1
CN5102500000000,2022-04-01,51,025,VA,Brunswick County,5857,5633,224,3.8
CN5102700000000,2022-04-01,51,027,VA,Buchanan County,6356,6101,255,4
CN5102900000000,2022-04-01,51,029,VA,Buckingham County,6400,6201,199,3.1
CN5103100000000,2022-04-01,51,031,VA,Campbell County,25832,25201,631,2.4
CN5103300000000,2022-04-01,51,033,VA,Caroline County,15225,14822,403,2.6
CN5103500000000,2022-04-01,51,035,VA,Carroll County,12801,12432,369,2.9
CN5103600000000,2022-04-01,51,036,VA,Charles City County,3563,3470,93,2.6
CN5103700000000,2022-04-01,51,037,VA,Charlotte County,5520,5385,135,2.4
CN5104100000000,2022-04-01,51,041,VA,Chesterfield County,192165,187768,4397,2.3
CN5104300000000,2022-04-01,51,043,VA,Clarke County,7630,7467,163,2.1
CN5104500000000,2022-04-01,51,045,VA,Craig County,2299,2243,56,2.4
CN5104700000000,2022-04-01,51,047,VA,Culpeper County,25430,24830,600,2.4
CN5104900000000,2022-04-01,51,049,VA,Cumberland County,4753,4629,124,2.6
CN5105100000000,2022-04-01,51,051,VA,Dickenson County,4518,4360,158,3.5
CN5105300000000,2022-04-01,51,053,VA,Dinwiddie County,13668,13304,364,2.7
CN5105700000000,2022-04-01,51,057,VA,Essex County,5427,5265,162,3
CN5105900000000,2022-04-01,51,059,VA,Fairfax County,636555,623305,13250,2.1
CN5106100000000,2022-04-01,51,061,VA,Fauquier County,37520,36729,791,2.1
CN5106300000000,2022-04-01,51,063,VA,Floyd County,8594,8421,173,2
CN5106500000000,2022-04-01,51,065,VA,Fluvanna County,14199,13904,295,2.1
CN5106700000000,2022-04-01,51,067,VA,Franklin County,26326,25695,631,2.4
CN5106900000000,2022-04-01,51,069,VA,Frederick County,51251,50233,1018,2
CN5107100000000,2022-04-01,51,071,VA,Giles County,8240,8044,196,2.4
CN5107300000000,2022-04-01,51,073,VA,Gloucester County,19468,19028,440,2.3
CN5107500000000,2022-04-01,51,075,VA,Goochland County,11746,11484,262,2.2
CN5107700000000,2022-04-01,51,077,VA,Grayson County,7984,7811,173,2.2
CN5107900000000,2022-04-01,51,079,VA,Greene County,10632,10421,211,2
CN5108100000000,2022-04-01,51,081,VA,Greensville County,4341,4227,114,2.6
CN5108300000000,2022-04-01,51,083,VA,Halifax County,15418,14913,505,3.3
CN5108500000000,2022-04-01,51,085,VA,Hanover County,59615,58428,1187,2
CN5108700000000,2022-04-01,51,087,VA,Henrico County,184093,179703,4390,2.4
CN5108900000000,2022-04-01,51,089,VA,Henry County,23975,23290,685,2.9
CN5109100000000,2022-04-01,51,091,VA,Highland County,1322,1297,25,1.9
CN5109300000000,2022-04-01,51,093,VA,Isle of Wight County,19639,19187,452,2.3
CN5109500000000,2022-04-01,51,095,VA,James City County,36950,36038,912,2.5
CN5109700000000,2022-04-01,51,097,VA,King and Queen County,3873,3788,85,2.2
CN5109900000000,2022-04-01,51,099,VA,King George County,14358,14049,309,2.2
CN5110100000000,2022-04-01,51,101,VA,King William County,9503,9292,211,2.2
CN5110300000000,2022-04-01,51,103,VA,Lancaster County,5344,5141,203,3.8
CN5110500000000,2022-04-01,51,105,VA,Lee County,8206,7954,252,3.1
CN5110700000000,2022-04-01,51,107,VA,Loudoun County,231207,226666,4541,2
CN5110900000000,2022-04-01,51,109,VA,Louisa County,20621,20162,459,2.2
CN5111100000000,2022-04-01,51,111,VA,Lunenburg County,5128,4993,135,2.6
CN5111300000000,2022-04-01,51,113,VA,Madison County,7547,7406,141,1.9
CN5111500000000,2022-04-01,51,115,VA,Mathews County,4088,3987,101,2.5
CN5111700000000,2022-04-01,51,117,VA,Mecklenburg County,12905,12513,392,3
CN5111900000000,2022-04-01,51,119,VA,Middlesex County,5216,5095,121,2.3
CN5112100000000,2022-04-01,51,121,VA,Montgomery County,52843,51748,1095,2.1
CN5112500000000,2022-04-01,51,125,VA,Nelson County,7359,7194,165,2.2
CN5112700000000,2022-04-01,51,127,VA,New Kent County,13154,12883,271,2.1
CN5113100000000,2022-04-01,51,131,VA,Northampton County,5398,5236,162,3
CN5113300000000,2022-04-01,51,133,VA,Northumberland County,5522,5309,213,3.9
CN5113500000000,2022-04-01,51,135,VA,Nottoway County,7202,7023,179,2.5
CN5113700000000,2022-04-01,51,137,VA,Orange County,17830,17407,423,2.4
CN5113900000000,2022-04-01,51,139,VA,Page County,12139,11801,338,2.8
CN5114100000000,2022-04-01,51,141,VA,Patrick County,7188,6972,216,3
CN5114300000000,2022-04-01,51,143,VA,Pittsylvania County,30342,29571,771,2.5
CN5114500000000,2022-04-01,51,145,VA,Powhatan County,14574,14267,307,2.1
CN5114700000000,2022-04-01,51,147,VA,Prince Edward County,9982,9682,300,3
CN5114900000000,2022-04-01,51,149,VA,Prince George County,15245,14828,417,2.7
CN5115300000000,2022-04-01,51,153,VA,Prince William County,249750,244074,5676,2.3
CN5115500000000,2022-04-01,51,155,VA,Pulaski County,16944,16523,421,2.5
CN5115700000000,2022-04-01,51,157,VA,Rappahannock County,3699,3617,82,2.2
CN5115900000000,2022-04-01,51,159,VA,Richmond County,3983,3874,109,2.7
CN5116100000000,2022-04-01,51,161,VA,Roanoke County,49634,48583,1051,2.1
CN5116300000000,2022-04-01,51,163,VA,Rockbridge County,10658,10407,251,2.4
CN5116500000000,2022-04-01,51,165,VA,Rockingham County,43092,42210,882,2
CN5116700000000,2022-04-01,51,167,VA,Russell County,10937,10606,331,3
CN5116900000000,2022-04-01,51,169,VA,Scott County,9177,8939,238,2.6
CN5117100000000,2022-04-01,51,171,VA,Shenandoah County,21977,21467,510,2.3
CN5117300000000,2022-04-01,51,173,VA,Smyth County,13756,13406,350,2.5
CN5117500000000,2022-04-01,51,175,VA,Southampton County,8833,8615,218,2.5
CN5117700000000,2022-04-01,51,177,VA,Spotsylvania County,69027,67368,1659,2.4
CN5117900000000,2022-04-01,51,179,VA,Stafford County,75245,73468,1777,2.4
CN5118100000000,2022-04-01,51,181,VA,Surry County,3568,3476,92,2.6
CN5118300000000,2022-04-01,51,183,VA,Sussex County,3628,3503,125,3.4
CN5118500000000,2022-04-01,51,185,VA,Tazewell County,15361,14838,523,3.4
CN5118700000000,2022-04-01,51,187,VA,Warren County,20660,20160,500,2.4
CN5119100000000,2022-04-01,51,191,VA,Washington County,26330,25704,626,2.4
CN5119300000000,2022-04-01,51,193,VA,Westmoreland County,9586,9345,241,2.5
CN5119500000000,2022-04-01,51,195,VA,Wise County,12842,12409,433,3.4
CN5119700000000,2022-04-01,51,197,VA,Wythe County,14120,13780,340,2.4
CN5119900000000,2022-04-01,51,199,VA,York County,33141,32384,757,2.3
CN5151000000000,2022-04-01,51,510,VA,Alexandria city,100532,98440,2092,2.1
CN5152000000000,2022-04-01,51,520,VA,Bristol city,7568,7354,214,2.8
CN5153000000000,2022-04-01,51,530,VA,Buena Vista city,3012,2937,75,2.5
CN5154000000000,2022-04-01,51,540,VA,Charlottesville city,25706,25144,562,2.2
CN5155000000000,2022-04-01,51,550,VA,Chesapeake city,123734,120718,3016,2.4
CN5157000000000,2022-04-01,51,570,VA,Colonial Heights city,8457,8241,216,2.6
CN5158000000000,2022-04-01,51,580,VA,Covington city,2291,2209,82,3.6
CN5159000000000,2022-04-01,51,590,VA,Danville city,18741,18029,712,3.8
CN5159500000000,2022-04-01,51,595,VA,Emporia city,2354,2255,99,4.2
CN5160000000000,2022-04-01,51,600,VA,Fairfax city,12869,12604,265,2.1
CN5161000000000,2022-04-01,51,610,VA,Falls Church city,8533,8379,154,1.8
CN5162000000000,2022-04-01,51,620,VA,Franklin city,3434,3324,110,3.2
CN5163000000000,2022-04-01,51,630,VA,Fredericksburg city,14288,13889,399,2.8
CN5164000000000,2022-04-01,51,640,VA,Galax city,2841,2765,76,2.7
CN5165000000000,2022-04-01,51,650,VA,Hampton city,64252,62170,2082,3.2
CN5166000000000,2022-04-01,51,660,VA,Harrisonburg city,24985,24345,640,2.6
CN5167000000000,2022-04-01,51,670,VA,Hopewell city,9554,9188,366,3.8
CN5167800000000,2022-04-01,51,678,VA,Lexington city,2165,2099,66,3
CN5168000000000,2022-04-01,51,680,VA,Lynchburg city,35646,34576,1070,3
CN5168300000000,2022-04-01,51,683,VA,Manassas city,21653,21184,469,2.2
CN5168500000000,2022-04-01,51,685,VA,Manassas Park city,9766,9555,211,2.2
CN5169000000000,2022-04-01,51,690,VA,Martinsville city,5568,5357,211,3.8
CN5170000000000,2022-04-01,51,700,VA,Newport News city,88251,85535,2716,3.1
CN5171000000000,2022-04-01,51,710,VA,Norfolk city,109961,106695,3266,3
CN5172000000000,2022-04-01,51,720,VA,Norton city,1604,1555,49,3.1
CN5173000000000,2022-04-01,51,730,VA,Petersburg city,12488,11881,607,4.9
CN5173500000000,2022-04-01,51,735,VA,Poquoson city,6353,6228,125,2
CN5174000000000,2022-04-01,51,740,VA,Portsmouth city,44031,42558,1473,3.3
CN5175000000000,2022-04-01,51,750,VA,Radford city,9113,8882,231,2.5
CN5176000000000,2022-04-01,51,760,VA,Richmond city,119892,116402,3490,2.9
CN5177000000000,2022-04-01,51,770,VA,Roanoke city,48818,47502,1316,2.7
CN5177500000000,2022-04-01,51,775,VA,Salem city,12834,12528,306,2.4
CN5179000000000,2022-04-01,51,790,VA,Staunton city,12373,12088,285,2.3
CN5180000000000,2022-04-01,51,800,VA,Suffolk city,45536,44338,1198,2.6
CN5181000000000,2022-04-01,51,810,VA,Virginia Beach city,231663,226289,5374,2.3
CN5182000000000,2022-04-01,51,820,VA,Waynesboro city,10744,10483,261,2.4
CN5183000000000,2022-04-01,51,830,VA,Williamsburg city,6769,6562,207,3.1
CN5184000000000,2022-04-01,51,840,VA,Winchester city,15009,14675,334,2.2
CN5300100000000,2022-04-01,53,001,WA,Adams County,9576,9151,425,4.4
CN5300300000000,2022-04-01,53,003,WA,Asotin County,10529,10155,374,3.6
CN5300500000000,2022-04-01,53,005,WA,Benton County,104280,99417,4863,4.7
CN5300700000000,2022-04-01,53,007,WA,Chelan County,42740,40743,1997,4.7
CN5300900000000,2022-04-01,53,009,WA,Clallam County,28611,27016,1595,5.6
CN5301100000000,2022-04-01,53,011,WA,Clark County,246152,235293,10859,4.4
CN5301300000000,2022-04-01,53,013,WA,Columbia County,1770,1670,100,5.6
CN5301500000000,2022-04-01,53,015,WA,Cowlitz County,48150,45531,2619,5.4
CN5301700000000,2022-04-01,53,017,WA,Douglas County,21320,20264,1056,5
CN5301900000000,2022-04-01,53,019,WA,Ferry County,2251,2058,193,8.6
CN5302100000000,2022-04-01,53,021,WA,Franklin County,43801,41234,2567,5.9
CN5302300000000,2022-04-01,53,023,WA,Garfield County,781,725,56,7.2
CN5302500000000,2022-04-01,53,025,WA,Grant County,47631,44970,2661,5.6
CN5302700000000,2022-04-01,53,027,WA,Grays Harbor County,28671,26859,1812,6.3
CN5302900000000,2022-04-01,53,029,WA,Island County,36189,34522,1667,4.6
CN5303100000000,2022-04-01,53,031,WA,Jefferson County,12352,11709,643,5.2
CN5303300000000,2022-04-01,53,033,WA,King County,1313816,1284826,28990,2.2
CN5303500000000,2022-04-01,53,035,WA,Kitsap County,127272,121877,5395,4.2
CN5303700000000,2022-04-01,53,037,WA,Kittitas County,22946,21755,1191,5.2
CN5303900000000,2022-04-01,53,039,WA,Klickitat County,9602,9075,527,5.5
CN5304100000000,2022-04-01,53,041,WA,Lewis County,34397,32380,2017,5.9
CN5304300000000,2022-04-01,53,043,WA,Lincoln County,4520,4302,218,4.8
CN5304500000000,2022-04-01,53,045,WA,Mason County,24948,23459,1489,6
CN5304700000000,2022-04-01,53,047,WA,Okanogan County,18835,17666,1169,6.2
CN5304900000000,2022-04-01,53,049,WA,Pacific County,8518,7996,522,6.1
CN5305100000000,2022-04-01,53,051,WA,Pend Oreille County,5106,4775,331,6.5
CN5305300000000,2022-04-01,53,053,WA,Pierce County,449998,428054,21944,4.9
CN5305500000000,2022-04-01,53,055,WA,San Juan County,8220,7887,333,4.1
CN5305700000000,2022-04-01,53,057,WA,Skagit County,60901,57876,3025,5
CN5305900000000,2022-04-01,53,059,WA,Skamania County,5485,5218,267,4.9
CN5306100000000,2022-04-01,53,061,WA,Snohomish County,447674,436491,11183,2.5
CN5306300000000,2022-04-01,53,063,WA,Spokane County,260876,249690,11186,4.3
CN5306500000000,2022-04-01,53,065,WA,Stevens County,19061,17830,1231,6.5
CN5306700000000,2022-04-01,53,067,WA,Thurston County,146902,140469,6433,4.4
CN5306900000000,2022-04-01,53,069,WA,Wahkiakum County,1320,1231,89,6.7
CN5307100000000,2022-04-01,53,071,WA,Walla Walla County,30278,28996,1282,4.2
CN5307300000000,2022-04-01,53,073,WA,Whatcom County,114164,109061,5103,4.5
CN5307500000000,2022-04-01,53,075,WA,Whitman County,23337,22328,1009,4.3
CN5307700000000,2022-04-01,53,077,WA,Yakima County,128384,120555,7829,6.1
CN5400100000000,2022-04-01,54,001,WV,Barbour County,7444,7165,279,3.7
CN5400300000000,2022-04-01,54,003,WV,Berkeley County,59803,58265,1538,2.6
CN5400500000000,2022-04-01,54,005,WV,Boone County,7064,6755,309,4.4
CN5400700000000,2022-04-01,54,007,WV,Braxton County,4958,4667,291,5.9
CN5400900000000,2022-04-01,54,009,WV,Brooke County,9885,9469,416,4.2
CN5401100000000,2022-04-01,54,011,WV,Cabell County,41513,40142,1371,3.3
CN5401300000000,2022-04-01,54,013,WV,Calhoun County,2454,2274,180,7.3
CN5401500000000,2022-04-01,54,015,WV,Clay County,2956,2784,172,5.8
CN5401700000000,2022-04-01,54,017,WV,Doddridge County,3754,3653,101,2.7
CN5401900000000,2022-04-01,54,019,WV,Fayette County,15479,14781,698,4.5
CN5402100000000,2022-04-01,54,021,WV,Gilmer County,2415,2298,117,4.8
CN5402300000000,2022-04-01,54,023,WV,Grant County,5828,5622,206,3.5
CN5402500000000,2022-04-01,54,025,WV,Greenbrier County,15369,14875,494,3.2
CN5402700000000,2022-04-01,54,027,WV,Hampshire County,11045,10790,255,2.3
CN5402900000000,2022-04-01,54,029,WV,Hancock County,13074,12473,601,4.6
CN5403100000000,2022-04-01,54,031,WV,Hardy County,5559,5343,216,3.9
CN5403300000000,2022-04-01,54,033,WV,Harrison County,33664,32522,1142,3.4
CN5403500000000,2022-04-01,54,035,WV,Jackson County,11835,11359,476,4
CN5403700000000,2022-04-01,54,037,WV,Jefferson County,30876,30212,664,2.2
CN5403900000000,2022-04-01,54,039,WV,Kanawha County,79734,76872,2862,3.6
CN5404100000000,2022-04-01,54,041,WV,Lewis County,6298,6017,281,4.5
CN5404300000000,2022-04-01,54,043,WV,Lincoln County,7073,6732,341,4.8
CN5404500000000,2022-04-01,54,045,WV,Logan County,11385,10935,450,4
CN5404700000000,2022-04-01,54,047,WV,McDowell County,4092,3858,234,5.7
CN5404900000000,2022-04-01,54,049,WV,Marion County,25341,24293,1048,4.1
CN5405100000000,2022-04-01,54,051,WV,Marshall County,13166,12500,666,5.1
CN5405300000000,2022-04-01,54,053,WV,Mason County,10291,9904,387,3.8
CN5405500000000,2022-04-01,54,055,WV,Mercer County,20491,19669,822,4
CN5405700000000,2022-04-01,54,057,WV,Mineral County,12430,12003,427,3.4
CN5405900000000,2022-04-01,54,059,WV,Mingo County,6248,5923,325,5.2
CN5406100000000,2022-04-01,54,061,WV,Monongalia County,55920,54096,1824,3.3
CN5406300000000,2022-04-01,54,063,WV,Monroe County,6038,5876,162,2.7
CN5406500000000,2022-04-01,54,065,WV,Morgan County,8590,8374,216,2.5
CN5406700000000,2022-04-01,54,067,WV,Nicholas County,8853,8473,380,4.3
CN5406900000000,2022-04-01,54,069,WV,Ohio County,20018,19247,771,3.9
CN5407100000000,2022-04-01,54,071,WV,Pendleton County,3808,3724,84,2.2
CN5407300000000,2022-04-01,54,073,WV,Pleasants County,2611,2481,130,5
CN5407500000000,2022-04-01,54,075,WV,Pocahontas County,3691,3438,253,6.9
CN5407700000000,2022-04-01,54,077,WV,Preston County,15587,14989,598,3.8
CN5407900000000,2022-04-01,54,079,WV,Putnam County,26971,26151,820,3
CN5408100000000,2022-04-01,54,081,WV,Raleigh County,29122,28117,1005,3.5
CN5408300000000,2022-04-01,54,083,WV,Randolph County,11738,11174,564,4.8
CN5408500000000,2022-04-01,54,085,WV,Ritchie County,4221,4062,159,3.8
CN5408700000000,2022-04-01,54,087,WV,Roane County,5017,4694,323,6.4
CN5408900000000,2022-04-01,54,089,WV,Summers County,4540,4378,162,3.6
CN5409100000000,2022-04-01,54,091,WV,Taylor County,7922,7622,300,3.8
CN5409300000000,2022-04-01,54,093,WV,Tucker County,3536,3396,140,4
CN5409500000000,2022-04-01,54,095,WV,Tyler County,2925,2764,161,5.5
CN5409700000000,2022-04-01,54,097,WV,Upshur County,9672,9238,434,4.5
CN5409900000000,2022-04-01,54,099,WV,Wayne County,15566,15012,554,3.6
CN5410100000000,2022-04-01,54,101,WV,Webster County,3110,2980,130,4.2
CN5410300000000,2022-04-01,54,103,WV,Wetzel County,6570,6226,344,5.2
CN5410500000000,2022-04-01,54,105,WV,Wirt County,2241,2111,130,5.8
CN5410700000000,2022-04-01,54,107,WV,Wood County,36414,35017,1397,3.8
CN5410900000000,2022-04-01,54,109,WV,Wyoming County,7044,6771,273,3.9
CN5500100000000,2022-04-01,55,001,WI,Adams County,7786,7458,328,4.2
CN5500300000000,2022-04-01,55,003,WI,Ashland County,7364,7034,330,4.5
CN5500500000000,2022-04-01,55,005,WI,Barron County,23822,22919,903,3.8
CN5500700000000,2022-04-01,55,007,WI,Bayfield County,7361,6917,444,6
CN5500900000000,2022-04-01,55,009,WI,Brown County,139269,135940,3329,2.4
CN5501100000000,2022-04-01,55,011,WI,Buffalo County,6392,6151,241,3.8
CN5501300000000,2022-04-01,55,013,WI,Burnett County,7218,6820,398,5.5
CN5501500000000,2022-04-01,55,015,WI,Calumet County,27313,26757,556,2
CN5501700000000,2022-04-01,55,017,WI,Chippewa County,33933,32744,1189,3.5
CN5501900000000,2022-04-01,55,019,WI,Clark County,18070,17588,482,2.7
CN5502100000000,2022-04-01,55,021,WI,Columbia County,31663,30899,764,2.4
CN5502300000000,2022-04-01,55,023,WI,Crawford County,7256,7003,253,3.5
CN5502500000000,2022-04-01,55,025,WI,Dane County,326608,320421,6187,1.9
CN5502700000000,2022-04-01,55,027,WI,Dodge County,47173,46054,1119,2.4
CN5502900000000,2022-04-01,55,029,WI,Door County,14531,14037,494,3.4
CN5503100000000,2022-04-01,55,031,WI,Douglas County,22605,21571,1034,4.6
CN5503300000000,2022-04-01,55,033,WI,Dunn County,24413,23643,770,3.2
CN5503500000000,2022-04-01,55,035,WI,Eau Claire County,59649,58269,1380,2.3
CN5503700000000,2022-04-01,55,037,WI,Florence County,2154,2059,95,4.4
CN5503900000000,2022-04-01,55,039,WI,Fond du Lac County,55767,54551,1216,2.2
CN5504100000000,2022-04-01,55,041,WI,Forest County,3908,3701,207,5.3
CN5504300000000,2022-04-01,55,043,WI,Grant County,27810,27148,662,2.4
CN5504500000000,2022-04-01,55,045,WI,Green County,20817,20419,398,1.9
CN5504700000000,2022-04-01,55,047,WI,Green Lake County,9104,8842,262,2.9
CN5504900000000,2022-04-01,55,049,WI,Iowa County,13755,13413,342,2.5
CN5505100000000,2022-04-01,55,051,WI,Iron County,2514,2344,170,6.8
CN5505300000000,2022-04-01,55,053,WI,Jackson County,9486,9129,357,3.8
CN5505500000000,2022-04-01,55,055,WI,Jefferson County,45650,44535,1115,2.4
CN5505700000000,2022-04-01,55,057,WI,Juneau County,13211,12827,384,2.9
CN5505900000000,2022-04-01,55,059,WI,Kenosha County,88689,85864,2825,3.2
CN5506100000000,2022-04-01,55,061,WI,Kewaunee County,10875,10634,241,2.2
CN5506300000000,2022-04-01,55,063,WI,La Crosse County,65982,64529,1453,2.2
CN5506500000000,2022-04-01,55,065,WI,Lafayette County,10415,10218,197,1.9
CN5506700000000,2022-04-01,55,067,WI,Langlade County,9388,9035,353,3.8
CN5506900000000,2022-04-01,55,069,WI,Lincoln County,14665,14210,455,3.1
CN5507100000000,2022-04-01,55,071,WI,Manitowoc County,40600,39585,1015,2.5
CN5507300000000,2022-04-01,55,073,WI,Marathon County,72927,71188,1739,2.4
CN5507500000000,2022-04-01,55,075,WI,Marinette County,19082,18366,716,3.8
CN5507700000000,2022-04-01,55,077,WI,Marquette County,7677,7457,220,2.9
CN5507800000000,2022-04-01,55,078,WI,Menominee County,1521,1438,83,5.5
CN5507900000000,2022-04-01,55,079,WI,Milwaukee County,454131,438043,16088,3.5
CN5508100000000,2022-04-01,55,081,WI,Monroe County,23344,22782,562,2.4
CN5508300000000,2022-04-01,55,083,WI,Oconto County,20607,19943,664,3.2
CN5508500000000,2022-04-01,55,085,WI,Oneida County,17518,16870,648,3.7
CN5508700000000,2022-04-01,55,087,WI,Outagamie County,102630,100223,2407,2.3
CN5508900000000,2022-04-01,55,089,WI,Ozaukee County,48426,47397,1029,2.1
CN5509100000000,2022-04-01,55,091,WI,Pepin County,4158,4038,120,2.9
